ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
ハミルトン,ホテル ハミルトン札幌,札幌市中央区南１条西１５丁目１−２,南1条通北側
ビジネス|ノルテ,ビジネスイン ノルテ中島公園,札幌市中央区南11条西1-1-1,ＲＩＯのところ
ビジネス|ノルテ,ビジネスインノルテⅡ,札幌市北区北１０条西４丁目１−２２,北大通　１０と１１の交差点を入る
ビスタ,ホテルビスタ札幌大通り,札幌市中央区南３条西５丁目１６,南３条通北側、三河屋会館隣
ビスタ,ホテルビスタ札幌中島公園,札幌市中央区南９条西４丁目５,南９条通南側
ビスポーク,ビスポークホテル札幌,札幌市中央区南２条西１丁目７−９,南２条通南側
ビュー,札幌ビューホテル 大通公園,札幌市中央区大通西８丁目,南大通り南側
ファンゲート,札幌ファンゲートホテル,札幌市中央区南３条西９丁目９９８−６,南3条通北側(旧ラフィナート札幌)
ブーゲンビリア,ブーゲンビリア札幌,札幌市中央区南２条西７丁目６−１,7丁目と8丁目の間　東側　狸小路入口
フェフィールド|マリオット,フェアフィールド・バイ・マリオット札幌,札幌市中央区南４条東１丁目,南3条通南側(創成川通側にも入口あり) 昔の東武ホテル
フォルツァ,ホテルフォルツァ札幌駅前,札幌市中央区北３条西２丁目１−１,北3条と4条の間
プラス,プラスホステル札幌,札幌市中央区南３条西５丁目３２ 狸小路5丁目アーケード内,狸小路5丁目内
プリンス,札幌プリンスホテル,札幌市中央区南２条西１１丁目,石山通沿い
フレイム,フレイムホテル札幌,札幌市中央区南５条西７丁目８−１,南４条と5条の中通　東向き一通南側
プレミア,プレミアホテル 中島公園 札幌,札幌市中央区南１０条西６丁目１−２１,
プレミア|キャビン|CABIN,プレミアホテル CABIN札幌,札幌市中央区南５条西７丁目,
プレミア|ツバキ|TSUBAKI,プレミアホテルTSUBAKI札幌,札幌市豊平区豊平４条１丁目１−１,
ベッセル,ベッセルイン 札幌中島公園,札幌市中央区南９条西４丁目１−２,
ベッセル|カンパーナ,ベッセルホテルカンパーナすすきの,札幌市中央区南５条西６丁目１６−１,
ホリデイ,ホリデイ・イン＆スイーツ 札幌大通公園,札幌市中央区南2条西8丁目6-1,南2条通南側 旧テンザホテル
マイ,ホテルマイステイズ プレミア札幌パーク,札幌市中央区南９条西２丁目２−１０,
マイ,ホテルマイステイズ札幌アスペン,札幌市北区北８条西４丁目５,
マイ,ホテルマイステイズ札幌すすきの,札幌市中央区南７条西５丁目１−７,昔のＫＡＩＫＯ
マイ,ホテルマイステイズ札幌駅北口,札幌市北区北８条西４丁目１５,北８条北９条の中通
マイ,ホテルマイステイズ中島公園,札幌市中央区南１４条西１丁目１−２０,
マイ,ホテルマイステイズ中島公園別館,札幌市中央区南１１条西１丁目４−３,
まき,ホテル牧,札幌市中央区南１３条西７丁目１−２０,電車通７－１１の交差点を左
みつい,三井ガーデンホテル札幌,札幌市中央区北５条西６丁目１８−３,
みつい,三井ガーデンホテル札幌ウエスト,札幌市中央区北５条西６丁目2−４,
メッツ|サッ,ホテル サッポロメッツ,札幌市北区北１７条西５丁目２−５０,北大通沿
メルキュール,メルキュール札幌,札幌市中央区南4条西2丁目2-4,
ヤマチ,札幌ホテル ヤマチ,札幌市西区琴似１条３丁目３−６,琴似栄町通沿い
ユキタ,ホテルユキタ,札幌市東区北３６条東１５丁目３−１５,地下鉄通（東15丁目・屯田通）沿い
ラ・ジェント,ラ・ジェントスティ゙札幌大通,札幌市中央区南２条西５丁目２６−５,南2条通北側　or　南向き一通西側
ラ・ジェント,ラ・ジェントスティ新札幌,札幌市厚別区厚別中央１条６丁目３−５,厚別中央１条６丁目３−５
ライフォート,ホテルライフォート札幌,札幌市中央区南３条西９丁目９９８−６,
ランプライト|ブックス,ランプライトブックスホテル,札幌市中央区南２条西７丁目５−１,狸小路の中
リソル,ホテルリソル 札幌中島公園,札幌市中央区南９条西４丁目４−１０,南９条通り
リソル,ホテルリソルトリニティ,札幌市中央区大通西５丁目３,
